fecha;anio;mes;dia;hora;barra;tension;valor
01/01/2025;2025;11;1;1;ATACAMA_______220;220;67,03476
01/01/2025;2025;11;1;1;ATACAMA_______220;220;88,38252
01/01/2025;2025;11;1;1;CARDONES______220;220;60,62499
01/01/2025;2025;11;1;1;CARDONES______220;220;79,93151
01/01/2025;2025;11;1;1;CHARRUA_______220;220;54,61836
01/01/2025;2025;11;1;1;CHARRUA_______220;220;72,01201
01/01/2025;2025;11;1;1;CRUCERO_______220;220;66,18243
01/01/2025;2025;11;1;1;CRUCERO_______220;220;87,25876
01/01/2025;2025;11;1;1;P.AZUCAR______220;220;58,34443
01/01/2025;2025;11;1;1;P.AZUCAR______220;220;76,92468
01/01/2025;2025;11;1;1;P.MONTT_______220;220;55,81047
01/01/2025;2025;11;1;1;P.MONTT_______220;220;73,58376
01/01/2025;2025;11;1;1;QUILLOTA______220;220;57,59
01/01/2025;2025;11;1;1;QUILLOTA______220;220;75,93
01/01/2025;2025;11;1;1;TARAPACA______220;220;70,84722
01/01/2025;2025;11;1;1;TARAPACA______220;220;93,40909
01/01/2025;2025;11;1;2;ATACAMA_______220;220;77,63967
01/01/2025;2025;11;1;2;ATACAMA_______220;220;64,36258
01/01/2025;2025;11;1;2;ATACAMA_______220;220;51,68956
01/01/2025;2025;11;1;2;ATACAMA_______220;220;48,07296
01/01/2025;2025;11;1;2;CARDONES______220;220;71,65831
01/01/2025;2025;11;1;2;CARDONES______220;220;59,40409
01/01/2025;2025;11;1;2;CARDONES______220;220;47,90853
01/01/2025;2025;11;1;2;CARDONES______220;220;44,55648
01/01/2025;2025;11;1;2;CHARRUA_______220;220;66,35774
01/01/2025;2025;11;1;2;CHARRUA_______220;220;55,00997
01/01/2025;2025;11;1;2;CHARRUA_______220;220;44,6849
01/01/2025;2025;11;1;2;CHARRUA_______220;220;41,5584
01/01/2025;2025;11;1;2;CRUCERO_______220;220;76,54205
01/01/2025;2025;11;1;2;CRUCERO_______220;220;63,45266
01/01/2025;2025;11;1;2;CRUCERO_______220;220;50,94636
01/01/2025;2025;11;1;2;CRUCERO_______220;220;47,38176
01/01/2025;2025;11;1;2;P.AZUCAR______220;220;69,6923
01/01/2025;2025;11;1;2;P.AZUCAR______220;220;57,77429
01/01/2025;2025;11;1;2;P.AZUCAR______220;220;46,68225
01/01/2025;2025;11;1;2;P.AZUCAR______220;220;43,416
01/01/2025;2025;11;1;2;P.MONTT_______220;220;68,86561
01/01/2025;2025;11;1;2;P.MONTT_______220;220;57,08897
01/01/2025;2025;11;1;2;P.MONTT_______220;220;46,30136
01/01/2025;2025;11;1;2;P.MONTT_______220;220;43,06176
01/01/2025;2025;11;1;2;QUILLOTA______220;220;69,47
01/01/2025;2025;11;1;2;QUILLOTA______220;220;57,59
01/01/2025;2025;11;1;2;QUILLOTA______220;220;46,45
01/01/2025;2025;11;1;2;QUILLOTA______220;220;43,2
01/01/2025;2025;11;1;2;TARAPACA______220;220;82,0927
01/01/2025;2025;11;1;2;TARAPACA______220;220;68,0541
01/01/2025;2025;11;1;2;TARAPACA______220;220;54,56946
01/01/2025;2025;11;1;2;TARAPACA______220;220;50,75136
01/01/2025;2025;11;1;3;ATACAMA_______220;220;53,07632
01/01/2025;2025;11;1;3;CARDONES______220;220;48,30127
01/01/2025;2025;11;1;3;CHARRUA_______220;220;43,244
01/01/2025;2025;11;1;3;CRUCERO_______220;220;52,34345
01/01/2025;2025;11;1;3;P.AZUCAR______220;220;46,44861
01/01/2025;2025;11;1;3;P.MONTT_______220;220;42,80246
01/01/2025;2025;11;1;3;QUILLOTA______220;220;45,52
01/01/2025;2025;11;1;3;TARAPACA______220;220;56,49487
01/01/2025;2025;11;1;4;ATACAMA_______220;220;55,51382
01/01/2025;2025;11;1;4;ATACAMA_______220;220;60,95803
01/01/2025;2025;11;1;4;ATACAMA_______220;220;80,9395
01/01/2025;2025;11;1;4;CARDONES______220;220;50,69338
01/01/2025;2025;11;1;4;CARDONES______220;220;55,74696
01/01/2025;2025;11;1;4;CARDONES______220;220;74,02029
01/01/2025;2025;11;1;4;CHARRUA_______220;220;45,29123
01/01/2025;2025;11;1;4;CHARRUA_______220;220;49,76155
01/01/2025;2025;11;1;4;CHARRUA_______220;220;66,07292
01/01/2025;2025;11;1;4;CRUCERO_______220;220;54,68896
01/01/2025;2025;11;1;4;CRUCERO_______220;220;60,0529
01/01/2025;2025;11;1;4;CRUCERO_______220;220;79,73767
01/01/2025;2025;11;1;4;P.AZUCAR______220;220;48,72419
01/01/2025;2025;11;1;4;P.AZUCAR______220;220;53,61754
01/01/2025;2025;11;1;4;P.AZUCAR______220;220;71,19286
01/01/2025;2025;11;1;4;P.MONTT_______220;220;45,04806
01/01/2025;2025;11;1;4;P.MONTT_______220;220;49,0343
01/01/2025;2025;11;1;4;P.MONTT_______220;220;65,10728
01/01/2025;2025;11;1;4;QUILLOTA______220;220;47,68
01/01/2025;2025;11;1;4;QUILLOTA______220;220;52,32
01/01/2025;2025;11;1;4;QUILLOTA______220;220;69,47
01/01/2025;2025;11;1;4;TARAPACA______220;220;58,91341
01/01/2025;2025;11;1;4;TARAPACA______220;220;64,70414
01/01/2025;2025;11;1;4;TARAPACA______220;220;85,91355
01/01/2025;2025;11;1;6;ATACAMA_______220;220;67,22481
01/01/2025;2025;11;1;6;ATACAMA_______220;220;54,88922
01/01/2025;2025;11;1;6;CARDONES______220;220;61,10875
01/01/2025;2025;11;1;6;CARDONES______220;220;50,18797
01/01/2025;2025;11;1;6;CHARRUA_______220;220;54,9351
01/01/2025;2025;11;1;6;CHARRUA_______220;220;45,37229
01/01/2025;2025;11;1;6;CRUCERO_______220;220;66,26305
01/01/2025;2025;11;1;6;CRUCERO_______220;220;54,06435
01/01/2025;2025;11;1;6;P.AZUCAR______220;220;58,7706
01/01/2025;2025;11;1;6;P.AZUCAR______220;220;48,41904
01/01/2025;2025;11;1;6;P.MONTT_______220;220;54,09429
01/01/2025;2025;11;1;6;P.MONTT_______220;220;44,82397
01/01/2025;2025;11;1;6;QUILLOTA______220;220;57,59
01/01/2025;2025;11;1;6;QUILLOTA______220;220;47,68
01/01/2025;2025;11;1;6;TARAPACA______220;220;71,64196
01/01/2025;2025;11;1;6;TARAPACA______220;220;58,38893
01/01/2025;2025;11;1;7;ATACAMA_______220;220;51,13392
01/01/2025;2025;11;1;7;ATACAMA_______220;220;47,96928
01/01/2025;2025;11;1;7;ATACAMA_______220;220;0,0
01/01/2025;2025;11;1;7;CARDONES______220;220;47,92424
01/01/2025;2025;11;1;7;CARDONES______220;220;44,95824
01/01/2025;2025;11;1;7;CARDONES______220;220;0,0
01/01/2025;2025;11;1;7;CHARRUA_______220;220;44,10669
01/01/2025;2025;11;1;7;CHARRUA_______220;220;41,37696
01/01/2025;2025;11;1;7;CHARRUA_______220;220;0,0
01/01/2025;2025;11;1;7;CRUCERO_______220;220;50,3741
01/01/2025;2025;11;1;7;CRUCERO_______220;220;47,25648
01/01/2025;2025;11;1;7;CRUCERO_______220;220;0,0
01/01/2025;2025;11;1;7;P.AZUCAR______220;220;46,62102
01/01/2025;2025;11;1;7;P.AZUCAR______220;220;43,73568
01/01/2025;2025;11;1;7;P.AZUCAR______220;220;0,0
01/01/2025;2025;11;1;7;P.MONTT_______220;220;44,76521
01/01/2025;2025;11;1;7;P.MONTT_______220;220;41,99472
01/01/2025;2025;11;1;7;P.MONTT_______220;220;0,0
01/01/2025;2025;11;1;7;QUILLOTA______220;220;46,05
01/01/2025;2025;11;1;7;QUILLOTA______220;220;43,2
01/01/2025;2025;11;1;7;QUILLOTA______220;220;0,0
01/01/2025;2025;11;1;7;TARAPACA______220;220;53,21538
01/01/2025;2025;11;1;7;TARAPACA______220;220;49,92192
01/01/2025;2025;11;1;7;TARAPACA______220;220;0,0
01/01/2025;2025;11;1;8;ATACAMA_______220;220;0,0
01/01/2025;2025;11;1;8;ATACAMA_______220;220;0,0
01/01/2025;2025;11;1;8;CARDONES______220;220;0,0
01/01/2025;2025;11;1;8;CARDONES______220;220;0,0
01/01/2025;2025;11;1;8;CHARRUA_______220;220;0,0
01/01/2025;2025;11;1;8;CHARRUA_______220;220;0,0
01/01/2025;2025;11;1;8;CRUCERO_______220;220;0,0
01/01/2025;2025;11;1;8;CRUCERO_______220;220;0,0
01/01/2025;2025;11;1;8;P.AZUCAR______220;220;0,0
01/01/2025;2025;11;1;8;P.AZUCAR______220;220;0,0
01/01/2025;2025;11;1;8;P.MONTT_______220;220;0,0
01/01/2025;2025;11;1;8;P.MONTT_______220;220;0,0
01/01/2025;2025;11;1;8;QUILLOTA______220;220;0,0
01/01/2025;2025;11;1;8;QUILLOTA______220;220;0,0
01/01/2025;2025;11;1;8;TARAPACA______220;220;0,0
01/01/2025;2025;11;1;8;TARAPACA______220;220;0,0
01/01/2025;2025;11;1;10;ATACAMA_______220;220;0,0
01/01/2025;2025;11;1;10;CARDONES______220;220;0,0
01/01/2025;2025;11;1;10;CHARRUA_______220;220;0,0
01/01/2025;2025;11;1;10;CRUCERO_______220;220;0,0
01/01/2025;2025;11;1;10;P.AZUCAR______220;220;0,0
01/01/2025;2025;11;1;10;P.MONTT_______220;220;0,0
01/01/2025;2025;11;1;10;QUILLOTA______220;220;0,0
01/01/2025;2025;11;1;10;TARAPACA______220;220;0,0
01/01/2025;2025;11;1;19;ATACAMA_______220;220;0,0
01/01/2025;2025;11;1;19;CARDONES______220;220;0,0
01/01/2025;2025;11;1;19;CHARRUA_______220;220;0,0
